Korean Word,Emotion,Emotion-Intensity-Score
약탈,anger,0.578
도발,anger,0.578
손상,anger,0.578
범죄,anger,0.578
입 다물어,anger,0.578
속눈썹,anger,0.578
갈등,anger,0.578
논쟁적인,anger,0.578
닥쳐,anger,0.578
난파선,anger,0.578
도전적인,anger,0.578
푸줏간,anger,0.578
감금,anger,0.578
리볼버,anger,0.578
말다툼,anger,0.578
너 빨,anger,0.578
암,anger,0.577
차별하다,anger,0.576
총,anger,0.576
좌절,anger,0.576
피투성이,anger,0.576
유해한,anger,0.576
하지마,anger,0.576
신성 모독,anger,0.576
혼란스러운,anger,0.576
더듬다,anger,0.576
이질성,anger,0.576
방해,anger,0.576
겸손,anger,0.576
대치 상태,anger,0.576
불화,anger,0.576
프리겐,anger,0.575
비웃음,anger,0.574
죽음,anger,0.574
전광,anger,0.574
스캔들,anger,0.574
억압적인,anger,0.574
갑자기 찌르기,anger,0.574
저주 받은,anger,0.574
기괴,anger,0.574
똥,anger,0.573
폄하,anger,0.571
삭감,anger,0.571
불공정,anger,0.571
교수대,anger,0.57
차츰 오르다,anger,0.569
편협,anger,0.564
불법,anger,0.563
짐승,anger,0.562
수뢰,anger,0.562
유해한,anger,0.562
배신자,anger,0.562
무서운,anger,0.562
승강이,anger,0.562
중상,anger,0.562
풀무,anger,0.562
지체하다,anger,0.562
시무룩한,anger,0.562
경멸적인,anger,0.562
약세,anger,0.562
침략하다,anger,0.562
파멸,anger,0.562
아아아아,anger,0.562
무서운,anger,0.562
블러디,anger,0.562
속이다,anger,0.562
섬광,anger,0.562
조롱,anger,0.562
불화,anger,0.561
십자가,anger,0.561
날뛰다,anger,0.561
창살,anger,0.561
지독한,anger,0.561
맞다,anger,0.561
위태롭게 하다,anger,0.561
파편,anger,0.561
바보들,anger,0.561
아프다,anger,0.561
도둑,anger,0.561
통제할 수 없는,anger,0.561
큰 화재,anger,0.561
배신,anger,0.561
반시,anger,0.561
진압,anger,0.559
방해,anger,0.559
짓밟았다,anger,0.557
붙잡다,anger,0.557
불만,anger,0.556
체크,anger,0.556
마조히즘,anger,0.556
도전,anger,0.552
약탈,anger,0.55
공격,anger,0.549
비난,anger,0.548
좌절,anger,0.547
위반,anger,0.547
가두다,anger,0.547
불행,anger,0.547
아아아아,anger,0.547
상이,anger,0.547
처벌,anger,0.547
반역자,anger,0.547
터무니없는,anger,0.547
수치스러운,anger,0.547
분노,anger,0.547
속이다,anger,0.547
좌절,anger,0.547
죄,anger,0.547
날카로운,anger,0.547
어두운면,anger,0.547
뽐내는,anger,0.547
총기류,anger,0.547
훔친,anger,0.546
해든,anger,0.546
편견,anger,0.545
태클,anger,0.545
분개하다,anger,0.545
가열,anger,0.545
굳어진,anger,0.545
공모자,anger,0.545
망가진,anger,0.545
길항근,anger,0.545
작은 접전,anger,0.545
위협,anger,0.545
짜증나,anger,0.545
반칙,anger,0.545
논쟁,anger,0.545
모욕하다,anger,0.545
방랑자,anger,0.545
적,anger,0.545
찌르기,anger,0.544
빠뜨리는,anger,0.544
투덜거리다,anger,0.544
강도,anger,0.544
항의,anger,0.544
저항,anger,0.543
화해할 수 없는,anger,0.543
방해하는,anger,0.542
당황,anger,0.54
무리,anger,0.538
그냥 멈춰,anger,0.537
나쁜 상태,anger,0.536
조소,anger,0.534
방화범,anger,0.533
플레어,anger,0.532
양면,anger,0.531
무모한,anger,0.531
공산주의,anger,0.531
진술,anger,0.531
불리한,anger,0.531
채찍,anger,0.531
고삐 풀린,anger,0.531
퇴화,anger,0.531
침입자,anger,0.531
얕보다,anger,0.531
제한,anger,0.531
논쟁,anger,0.531
격화,anger,0.531
반란,anger,0.531
부당한,anger,0.53
정당화할 수 없는,anger,0.53
곡해,anger,0.53
편협한,anger,0.53
흥겨운,anger,0.53
범죄자,anger,0.53
독재적인,anger,0.53
혼전,anger,0.53
불협화음,anger,0.53
태클,anger,0.53
배신자,anger,0.529
못 견디다,anger,0.529
죄,anger,0.529
더운,anger,0.529
감옥,anger,0.529
자살,anger,0.521
짜증나게 하다,anger,0.52
남겨두다,anger,0.517
크레틴,anger,0.516
타락,anger,0.516
바보,anger,0.516
부정한,anger,0.516
불신,anger,0.516
굽다,anger,0.516
그르르,anger,0.516
흠잡다,anger,0.516
반하는,anger,0.516
비뚤어진,anger,0.516
죄인,anger,0.516
반역,anger,0.516
이혼,anger,0.516
환기,anger,0.516
협박,anger,0.516
무례한,anger,0.516
밀렵,anger,0.515
꾸짖다,anger,0.515
밀렵꾼,anger,0.515
펑,anger,0.515
행그리,anger,0.515
입론,anger,0.515
불만스러운,anger,0.515
불친절한,anger,0.515
노호,anger,0.515
강제,anger,0.515
용서하지 않는,anger,0.515
투덜거리다,anger,0.515
담즙,anger,0.515
풀다,anger,0.515
혼돈,anger,0.515
희생,anger,0.515
바보,anger,0.515
격투,anger,0.514
독,anger,0.511
고발,anger,0.51
증오,anger,0.51
포기,anger,0.51
덜어 없애다,anger,0.509
기형,anger,0.508
폭풍,anger,0.507
미친,anger,0.5
망치질,anger,0.5
무시하다,anger,0.5
대조법,anger,0.5
비웃다,anger,0.5
격통,anger,0.5
갇힌,anger,0.5
두려움,anger,0.5
합,anger,0.5
제멋대로,anger,0.5
망상,anger,0.5
막다,anger,0.5
소유,anger,0.5
부당,anger,0.5
열렬,anger,0.5
창,anger,0.5
비웃음,anger,0.5
다루기 힘든,anger,0.5
거부하다,anger,0.5
억누르다,anger,0.5
지독한 시련,anger,0.5
추방,anger,0.5
거부하다,anger,0.5
피하다,anger,0.5
정면,anger,0.5
감손,anger,0.5
열광,anger,0.5
적의,anger,0.5
억압,anger,0.5
부정 요법,anger,0.5
단단한,anger,0.5
발포,anger,0.5
방해,anger,0.5
아무도 신경 쓰지 않는다,anger,0.5
애용,anger,0.5
스스로 극복하다,anger,0.495
인성,anger,0.492
바보들,anger,0.492
광기,anger,0.491
죄 많은,anger,0.491
탐욕,anger,0.49
억압하다,anger,0.49
절단,anger,0.485
저주,anger,0.485
짜증이 난,anger,0.485
반체제 인사,anger,0.485
수요,anger,0.485
빼앗다,anger,0.485
갈고리 발톱,anger,0.485
소외시키다,anger,0.485
위반,anger,0.485
복수자,anger,0.485
취소,anger,0.485
밀수선,anger,0.485
폐하다,anger,0.485
프릭킹,anger,0.485
체재,anger,0.485
변태,anger,0.485
해,anger,0.485
불순종,anger,0.485
근친 상간,anger,0.485
불평,anger,0.485
비승인,anger,0.485
비인간적인,anger,0.485
조롱,anger,0.484
패널티,anger,0.484
포기하다,anger,0.484
억제하다,anger,0.484
대변동,anger,0.484
책략,anger,0.484
불쾌한,anger,0.484
투옥,anger,0.484
팽팽한,anger,0.484
탓하다,anger,0.484
축출,anger,0.484
소송을 제기하는,anger,0.484
경쟁,anger,0.484
빨판,anger,0.484
반대,anger,0.484
뒹굴다,anger,0.484
불명예,anger,0.484
의심스러운,anger,0.484
난기류,anger,0.483
파운드,anger,0.481
추위,anger,0.477
일한 보람 없는,anger,0.472
멍청한,anger,0.471
대대,anger,0.471
봉건 제도,anger,0.47
인질,anger,0.47
성가신,anger,0.47
빼앗긴,anger,0.47
파괴,anger,0.47
마찰,anger,0.47
질투하는,anger,0.47
역경,anger,0.47
신앙심 없는 사람,anger,0.47
담즙,anger,0.47
고발인,anger,0.47
램,anger,0.47
군비,anger,0.47
때림,anger,0.469
싫어함,anger,0.469
훔치다,anger,0.469
물러나 다,anger,0.469
억눌린,anger,0.469
선동하다,anger,0.469
고통,anger,0.469
분노 조절,anger,0.469
이기적인,anger,0.469
부상,anger,0.469
망명,anger,0.469
광기,anger,0.469
위반,anger,0.469
반대,anger,0.469
연기 내는 것,anger,0.469
분열,anger,0.469
견딜 수 없기,anger,0.469
좇지 않다,anger,0.469
이기주의,anger,0.469
상습적 범행,anger,0.469
전복,anger,0.469
성냄,anger,0.469
약탈,anger,0.469
반대,anger,0.469
불평하다,anger,0.469
가해자,anger,0.469
끓이다,anger,0.469
장난하냐,anger,0.468
얼굴,anger,0.467
고뇌,anger,0.465
오만한,anger,0.461
숙,anger,0.456
벤트,anger,0.456
제거,anger,0.456
피켓팅,anger,0.456
거만한,anger,0.456
강판,anger,0.455
악명 높은,anger,0.455
체포,anger,0.455
게 같은,anger,0.455
사망,anger,0.455
백치,anger,0.455
불침투성,anger,0.455
그루터기,anger,0.455
위법,anger,0.455
거부권,anger,0.455
강제,anger,0.455
오도하다,anger,0.455
불법,anger,0.455
귀찮은,anger,0.455
외치다,anger,0.455
총검,anger,0.453
막다,anger,0.453
극심한,anger,0.453
불쾌한,anger,0.453
비승인,anger,0.453
히스테리,anger,0.453
고심하다,anger,0.453
신이 없는,anger,0.453
단념하다,anger,0.453
강탈,anger,0.453
전제국,anger,0.453
동의하지 않는,anger,0.453
나쁜,anger,0.453
불법,anger,0.451
잘못,anger,0.448
싫은,anger,0.442
불명예,anger,0.441
정신병,anger,0.441
지나간,anger,0.441
나쁜,anger,0.441
적,anger,0.441
혐오,anger,0.44
헉,anger,0.439
너클,anger,0.439
최후 통첩,anger,0.439
분리,anger,0.439
속상한,anger,0.439
인형,anger,0.439
처벌,anger,0.439
가치 없는,anger,0.438
분리파,anger,0.438
몸값,anger,0.438
부인하다,anger,0.438
도망자,anger,0.438
엿먹인,anger,0.438
포기,anger,0.438
짜증나게 하는 것,anger,0.438
해로운,anger,0.438
우둔,anger,0.438
분리하다,anger,0.437
망각,anger,0.437
복수,anger,0.436
어울리지 않는,anger,0.435
축출,anger,0.435
공모,anger,0.432
털다,anger,0.431
굶주린,anger,0.429
오버런,anger,0.429
부정,anger,0.429
선구자,anger,0.426
괴로운,anger,0.426
과감히,anger,0.426
용감한,anger,0.426
배제,anger,0.426
쉽게 믿지 않는,anger,0.426
멍청이,anger,0.426
방어,anger,0.425
억지로 시키다,anger,0.424
동요,anger,0.424
검열,anger,0.424
임질,anger,0.424
사기,anger,0.424
동정심 없는,anger,0.424
그릇된,anger,0.424
탐욕,anger,0.424
속이다,anger,0.424
소시지,anger,0.424
은폐,anger,0.424
야단법석,anger,0.424
격분,anger,0.424
불순종,anger,0.424
강한,anger,0.424
불만,anger,0.424
외설,anger,0.424
선동,anger,0.422
추방,anger,0.422
깨진,anger,0.422
쾅,anger,0.422
미늘,anger,0.422
결투,anger,0.422
풍자,anger,0.422
똥개,anger,0.422
잘못 표현된,anger,0.422
성가심,anger,0.422
흉터,anger,0.422
쐐기풀,anger,0.422
추방,anger,0.422
너프,anger,0.422
교도소,anger,0.422
침투,anger,0.422
떠들썩한,anger,0.42
힘,anger,0.418
변태,anger,0.415
짜다,anger,0.415
능보,anger,0.413
암울한,anger,0.413
변덕스러운,anger,0.412
사소한 말다툼,anger,0.412
불행,anger,0.412
거친,anger,0.412
더러운,anger,0.412
수렵,anger,0.411
계약서,anger,0.41
박탈,anger,0.409
너네 장난해,anger,0.409
치욕,anger,0.409
가짜,anger,0.409
끔찍한,anger,0.409
강제,anger,0.409
얽히게 하다,anger,0.409
모순,anger,0.409
서투른,anger,0.409
최고,anger,0.409
좀도둑,anger,0.409
어긋나게 하다,anger,0.409
봉쇄,anger,0.409
억류자,anger,0.409
캔트윈,anger,0.409
끽소리 못 하게 함,anger,0.409
거짓말하는,anger,0.408
레일,anger,0.406
버림받은,anger,0.406
불협화음,anger,0.406
반감,anger,0.406
쯧쯧,anger,0.406
오소리,anger,0.406
떨림,anger,0.406
불평등,anger,0.406
미혹,anger,0.406
상상할 수 없는,anger,0.406
번거로운,anger,0.406
악행,anger,0.406
폐가 되는 행위,anger,0.406
스크래피,anger,0.406
감염병 유행,anger,0.406
인수,anger,0.404
모욕,anger,0.403
충격적인,anger,0.402
소딩,anger,0.4
명예 훼손죄,anger,0.4
귀찮게,anger,0.4
너무 느려,anger,0.398
조심해,anger,0.398
열광적인,anger,0.397
면하다,anger,0.397
짐배,anger,0.396
고소하다,anger,0.394
건이 있는,anger,0.394
실행 가능한,anger,0.394
끄다,anger,0.394
사기,anger,0.394
반대,anger,0.394
불법적인,anger,0.394
성가신 잔소리,anger,0.394
권투,anger,0.394
몰수하다,anger,0.394
멀리서 짖는 소리,anger,0.394
점은 무엇인가,anger,0.394
소탕,anger,0.394
해로운,anger,0.394
무례,anger,0.394
당짓,anger,0.394
유황,anger,0.392
해산,anger,0.391
조작된,anger,0.391
그르르르르,anger,0.391
지진,anger,0.391
아아,anger,0.391
돋우다,anger,0.391
무모,anger,0.391
동의하지 않는다,anger,0.389
소송,anger,0.386
사용하지 않는,anger,0.382
절망,anger,0.382
부도덕,anger,0.382
강요하다,anger,0.379
퍼스트월드프롭스,anger,0.379
다루기 어려운,anger,0.379
찌르다,anger,0.379
위조,anger,0.379
소총,anger,0.379
찌는 듯이 덥다,anger,0.379
불치의,anger,0.379
어려움,anger,0.379
아픈,anger,0.379
피켓,anger,0.378
진동,anger,0.377
막히다,anger,0.375
시민군,anger,0.375
원시,anger,0.375
불완전한,anger,0.375
교활한,anger,0.375
환멸,anger,0.375
펫피브,anger,0.375
함정,anger,0.375
유아 같은,anger,0.375
염세주의,anger,0.375
반송,anger,0.375
대포,anger,0.375
변호하다,anger,0.371
억제하다,anger,0.371
괴로운,anger,0.371
친척 편중,anger,0.371
정신 분열증,anger,0.369
비뚤어진,anger,0.368
보기 싫은,anger,0.368
무서운,anger,0.368
정복,anger,0.367
짖다,anger,0.365
백혈병,anger,0.365
안된다고 하다,anger,0.364
전사,anger,0.364
짖다,anger,0.364
지체,anger,0.364
불행한,anger,0.364
버크,anger,0.364
도전,anger,0.364
벨트,anger,0.364
소송하다,anger,0.359
소수,anger,0.359
독단적인,anger,0.359
싫어,anger,0.359
여파,anger,0.359
제한,anger,0.359
치사한 사람,anger,0.359
무능력,anger,0.359
소리의 크기,anger,0.359
고장난,anger,0.359
논쟁,anger,0.359
종파주의자,anger,0.359
논란이 많은,anger,0.359
방해,anger,0.358
까다로운,anger,0.357
처녀,anger,0.353
제거하다,anger,0.351
애새끼,anger,0.351
거친,anger,0.351
버릇 없음,anger,0.351
부족,anger,0.35
지는,anger,0.349
오명,anger,0.348
버려진,anger,0.348
시간을 낭비하게 만드는 사람들,anger,0.348
불쾌한 일,anger,0.348
결함,anger,0.348
굳어진,anger,0.348
거짓말하다,anger,0.348
궤양,anger,0.348
쑥 들어가게 하다,anger,0.348
믿지 못할,anger,0.348
해충,anger,0.348
실망한,anger,0.348
편견,anger,0.345
부정,anger,0.344
귀찮게,anger,0.344
벗겨진,anger,0.344
반사회적인,anger,0.344
해적,anger,0.344
적은,anger,0.344
재생 모직물,anger,0.344
신뢰할 수 없는,anger,0.344
흔들리는,anger,0.344
오해의 소지가 있는,anger,0.344
변하기 쉬운,anger,0.344
피하다,anger,0.344
불안,anger,0.344
버리다,anger,0.344
악화,anger,0.344
무력,anger,0.344
끝없는,anger,0.343
질병,anger,0.341
간섭하다,anger,0.341
경사,anger,0.34
싫어하다,anger,0.338
악명 높은,anger,0.338
대주,anger,0.338
열,anger,0.337
정전기,anger,0.336
불법,anger,0.333
방해물,anger,0.333
요술,anger,0.333
방해하다,anger,0.333
투석기,anger,0.333
아픈,anger,0.333
죄인,anger,0.331
사려깊지 않은,anger,0.329
폐선,anger,0.329
금지,anger,0.328
파선,anger,0.328
브르르,anger,0.328
악의 없는 거짓말,anger,0.328
실격,anger,0.328
스패머,anger,0.328
위조품,anger,0.328
죄다,anger,0.328
탈구,anger,0.328
속죄 염소,anger,0.328
피해자,anger,0.328
상대,anger,0.328
스음,anger,0.328
개혁 운동,anger,0.328
성격이 나쁜,anger,0.328
저항,anger,0.328
부적절한,anger,0.324
헤이,anger,0.324
손실,anger,0.324
속임수,anger,0.324
피하다,anger,0.324
무시,anger,0.324
구강 궤양,anger,0.323
통,anger,0.318
결정적 시기,anger,0.318
이중성,anger,0.318
비판,anger,0.318
대기열,anger,0.318
비명,anger,0.316
얕보다,anger,0.315
해임,anger,0.312
왕겨,anger,0.312
드라마 여왕,anger,0.312
빈곤,anger,0.312
부주의,anger,0.312
꺾다,anger,0.312
우울,anger,0.312
잘 속는 사람,anger,0.312
인류,anger,0.312
회전,anger,0.309
불허,anger,0.308
거친,anger,0.307
인정 없는,anger,0.307
매장,anger,0.304
